기간,자치구,발생,,,,,,,,,,,
2016,종로구,"4,459",,,,,,,,,,,
2016,중구,"4,584",,,,,,,,,,,
2016,용산구,"4,137",,,,,,,,,,,
2016,성동구,"3,026",,,,,,,,,,,
2016,광진구,"5,322",,,,,,,,,,,
2016,동대문구,4787,,,,,,,,,,,
2016,중랑구,5041,,,,,,,,,,,
2016,성북구,3744,,,,,,,,,,,
2016,강북구,4229,,,,,,,,,,,
2016,도봉구,2438,,,,,,,,,,,
2016,노원구,4543,,,,,,,,,,,
2016,은평구,4501,,,,,,,,,,,
2016,서대문구,3665,,,,,,,,,,,
2016,마포구,5873,,,,,,,,,,,
2016,양천구,4112,,,,,,,,,,,
2016,강서구,5450,,,,,,,,,,,
2016,구로구,5366,,,,,,,,,,,
2016,금천구,3645,,,,,,,,,,,
2016,영등포구,6322,,,,,,,,,,,
2016,동작구,3227,,,,,,,,,,,
2016,관악구,5678,,,,,,,,,,,
2016,서초구,4989,,,,,,,,,,,
2016,강남구,8149,,,,,,,,,,,
2016,송파구,6090,,,,,,,,,,,
2016,강동구,4462,,,,,,,,,,,
